                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 0.8356,                0.54384,                 1.0258,                 0.9457,                0.91402,                 0.9236,                0.74601,                0.81163,                0.54524,                 1.0799,              0.0082972,              0.0082972,              0.0082972
                     89,                0.83677,                 0.5486,                 1.0348,                0.97096,                0.89617,                0.91837,                 0.7458,                0.79878,                0.53642,                 1.0787,              0.0082774,              0.0082774,              0.0082774
                     90,                0.84329,                0.55454,                 1.0473,                0.93876,                0.88776,                0.92526,                0.75132,                0.81255,                0.58195,                 1.0926,              0.0082576,              0.0082576,              0.0082576
                     91,                0.84167,                0.57416,                 1.0385,                0.95366,                 0.9014,                0.92457,                0.75734,                0.79731,                0.52406,                 1.0698,              0.0082378,              0.0082378,              0.0082378
                     92,                0.83053,                0.58067,                 1.0393,                0.90416,                0.91937,                0.92739,                0.76175,                0.81824,                0.55463,                 1.0796,               0.008218,               0.008218,               0.008218
                     93,                0.82472,                0.57092,                 1.0292,                0.95697,                0.90077,                0.92642,                0.74524,                0.80315,                0.53399,                 1.0582,              0.0081982,              0.0081982,              0.0081982
                     94,                 0.8431,                0.55605,                 1.0317,                0.95419,                0.89287,                0.92853,                 0.7428,                0.82041,                 0.5805,                 1.0829,              0.0081784,              0.0081784,              0.0081784
                     95,                0.84853,                0.56533,                 1.0436,                0.95968,                0.89649,                0.92469,                0.74847,                0.79729,                0.56288,                 1.0723,              0.0081586,              0.0081586,              0.0081586
                     96,                0.82885,                0.55322,                 1.0274,                0.90874,                0.89366,                0.92948,                0.74676,                0.82227,                0.56508,                 1.0721,              0.0081388,              0.0081388,              0.0081388
                     97,                0.83134,                0.56786,                 1.0313,                0.94964,                 0.9124,                0.93137,                0.74685,                0.81919,                0.52034,                 1.0837,               0.008119,               0.008119,               0.008119
                     98,                0.83633,                0.55894,                 1.0328,                0.96313,                0.90369,                0.93408,                0.75089,                0.82325,                0.52262,                 1.0842,              0.0080992,              0.0080992,              0.0080992
                     99,                0.85057,                0.58678,                 1.0352,                0.94602,                0.92531,                0.93339,                0.74831,                  0.827,                0.53194,                 1.0704,              0.0080794,              0.0080794,              0.0080794
                    100,                0.80597,                0.54082,                 1.0175,                0.95242,                0.89616,                0.91925,                0.74891,                0.79188,                0.52463,                 1.0815,              0.0080596,              0.0080596,              0.0080596
                    101,                0.81278,                0.52648,                 1.0162,                0.94726,                0.89846,                0.92174,                0.74367,                0.79328,                0.49941,                 1.0705,              0.0080398,              0.0080398,              0.0080398
